name;type;country;lat;lng;cityDesc
AALBORG;city;DK;57.05;9.9167;Aalborg ou Ålborg est une ville du Danemark située dans le Jutland.
AARHUS;city;DK;56.1564;10.2097;Aarhus, officiellement orthographié Århus avant le 1er janvier 2011, est la deuxième ville du Danemark par le nombre d'habitants.
ABSORB;ikea;;;;
AGNARYD;ikea;;;;
AKSDAL;both;NO;59.4219;5.4467;
ALARM;ikea;;;;
ALLAK;ikea;;;;
ALSARP;both;SE;57.538;16.033;
ALSEDA;both;SE;57.4206;15.2494;
ALSVIK;both;SE;59.6047;18.8486;
ALÄNG;ikea;;;;
ANDRUP;both;DK;55.4986;8.5353;
ANDY;ikea;;;;
ANEBODA;both;SE;57.1207;14.5634;
ANNAMOA;ikea;;;;
ANRIK;ikea;;;;
ANTILOP;ikea;;;;
ARHOLMA;ikea;;;;
ARILD;both;SE;56.2596;12.6079;Arild est un village rattaché à la commune de Höganäs en Scanie, Suède et compte 522 habitants en 2010.
ASKER;both;NO;59.8353;10.435;Asker est une localité de la commune de Asker dans le comté d'Akershus, en Norvège.
ASPELUND;both;NO;69.2356;18.1758;Aspelund est une localité du comté de Troms, en Norvège.
ASPUDDEN;both;SE;59.3056;18.0008;Aspudden est un quartier du district Hägersten-Älvsjö à Stockholm en Suède.
ASPVIK;both;SE;59.0972;16.9099;
ASTER;ikea;;;;
ATNA;both;NO;61.7308;10.8321;L'ahtna est une langue athapascane d'Alaska parlée par environ quatre-vingts personnes, les Ahtnas.
AUKRA;both;NO;62.7908;6.9181;Aukra est une kommune (commune) de Norvège.
BAGIS;ikea;;;;
BAREN;ikea;;;;
BATIST;ikea;;;;
BEKVÄM;ikea;;;;
BERGEN;city;NO;60.3925;5.3233;Bergen est une ville du Sud-Ouest de la Norvège, capitale du comté de Vestland.
BERGSBO;ikea;;;;
BERTIL;ikea;;;;
BESTÅ;ikea;;;;
BIBY;ikea;;;;
BIGUM;both;DK;56.5421;9.657;
BILLY;ikea;;;;
BJÄRNUM;both;SE;56.2942;13.711;Bjärnum est une localité de Suède dans la commune de Hässleholm en Scanie.
BJÖRKEFALL;ikea;;;;
BJÖRNHOLMEN;both;FI;61.5817;21.4908;
BLADET;ikea;;;;
BLECKA;ikea;;;;
BLOMMA;ikea;;;;
BLUNDA;ikea;;;;
BOALT;both;SE;56.3832;14.1655;Berkeley Law est la faculté de droit de l'université de Californie à Berkeley fondée en 1911.
BOLIDEN;both;SE;64.8655;20.3822;Boliden est une localité de Suède, située dans la commune de Skellefteå, dans le comté de Västerbotten.
BOLMEN;both;SE;56.8158;13.7012;Le Bolmen est un lac du Småland en Suède.
BOMULL;ikea;;;;
BORRBY;ikea;;;;
BORÅS;city;SE;57.7171;12.9457;Borås est une ville de 66 273 habitants (2010) située dans le comté de Västra Götaland et dans la province historique de Västergötland, en Suède, à environ 60 km de Göteborg.
BRALLIS;ikea;;;;
BRANÄS;both;SE;60.6528;12.9472;Branäs est une station de sports d'hiver dans la commune de Torsby dans le comté de Värmland en Suède.
BRARUP;both;DK;54.8801;11.8074;Braderup est une municipalité allemande située dans le land du Schleswig-Holstein et dans l'arrondissement de Frise-du-Nord.
BRODER;ikea;;;;
BROMMA;city;SE;59.3389;17.9389;Bromma est un district de l'ouest de la ville de Stockholm.
BRYNE;ikea;;;;
BURKEN;ikea;;;;
BURS;both;SE;57.2451;18.5096;
BYHOLMA;both;SE;56.7874;13.56;
BÅGVIK;ikea;;;;
BÄRBY;both;SE;59.8581;17.8173;
BÖLSNÄS;ikea;;;;
CECILIA;ikea;;;;
CHARMÖR;ikea;;;;
COMMUNAUTÉ URBAINE DE COPENHAGUE;city;DK;55.68;12.57;La communauté urbaine de Copenhague également dénommée Grand Copenhague est une aire métropolitaine qui regroupe 18 communes de l'agglomération de Copenhague au Danemark.
COPENHAGUE;city;DK;55.6761;12.5689;Copenhague est la capitale et la plus grande ville du Danemark.
DALFRED;ikea;;;;
DAVE;ikea;;;;
DEGERNES;both;NO;59.3542;11.4214;
DESSERT;ikea;;;;
DILLING;both;NO;59.4069;10.6965;Dillingen/Saar est une ville de l’Arrondissement de Sarrelouis en Sarre.
DINERA;ikea;;;;
DISKA;ikea;;;;
DIVISION;ikea;;;;
DOCKSTA;both;SE;63.056;18.3316;Docksta est une localité de la commune de Kramfors, dans le comté de Västernorrland, aux pieds de la montagne Skuleberget près de la côte de la mer Baltique dans le nord de la Suède.
DOMSJÖ;both;SE;63.2667;18.7167;
DRAGAN;ikea;;;;
DRILL;ikea;;;;
DRÖMMA;ikea;;;;
DUTT;ikea;;;;
DÅTID;ikea;;;;
EDLAND;both;NO;59.7397;7.6006;
EDSVIK;both;SE;58.7119;11.2353;
EFFEKTIV;ikea;;;;
EGBY;both;SE;56.8724;16.8202;
EIDE;both;NO;62.9172;7.4467;Eide est une ancienne kommune de Norvège.
EINA;both;NO;60.6286;10.5986;
EKBY;both;SE;58.6128;13.8758;
EKÅS;both;SE;57.7458;12.8889;
ELDIG;ikea;;;;
ELGÅ;both;NO;62.167;11.9427;
ELSFJORD;both;NO;66.1031;13.5481;Elsfjord est une localité du comté de Nordland, en Norvège.
ELVERDAM;ikea;;;;
ENGAN;both;NO;67.5833;15.8167;Engan est une localité du comté de Nordland, en Norvège.
ENGENES;both;NO;68.9241;17.1227;Engenes est une localité du comté de Troms, en Norvège.
ENGER;ikea;;;;
ENSKEDE-ÅRSTA-VANTÖR;city;SE;59.2819;18.0875;Enskede-Årsta-Vantör est l'un des districts de Stockholm, situé au sud de la capitale suédoise.
EPISTEL;ikea;;;;
ERFJORD;both;NO;59.3438;6.2154;
ERIKSLUND;both;SE;62.5264;15.91;
ERLING;ikea;;;;
ERSLEV;both;DK;56.8294;8.7506;
ESBJERG;city;DK;55.4708;8.4514;Esbjerg est une ville du Danemark.
ESKILSTUNA;city;SE;59.3773;16.5127;Eskilstuna [˘ɛskilstʉːna] est une ville de Suède.
ESPOO;city;FI;60.2056;24.6556;Espoo est la deuxième ville de Finlande.
EXPEDIT;ikea;;;;
FANAHOLM;ikea;;;;
FARSTA;city;SE;59.2403;18.0972;Farsta est un district du sud de Stockholm en Suède..
FARTYG;ikea;;;;
FARUM;both;DK;55.8083;12.3581;Farum est une municipalité du département de Frederiksborg se trouvant au nord de l'île de Sjælland au Danemark.
FEJKA;ikea;;;;
FIALENA;ikea;;;;
FIGGJO;both;NO;58.7833;5.8167;
FIL;ikea;;;;
FINNVIK;both;NO;70.8006;23.3161;
FIRA;ikea;;;;
FJORDGARD;both;NO;69.5078;17.6286;Fjordgård est une localité du comté de Troms, en Norvège.
FJÄLLSTA;ikea;;;;
FLATEN;both;SE;59.2583;18.1583;Flaten est un quartier du district de Skarpnäck à Stockholm en Suède.
FLIT;ikea;;;;
FLORVÅG;both;NO;60.4192;5.2378;Florvåg est un village de Norvège lié à la kommune insulaire d'Askøy et situé dans le comté de Vestland.
FLORÖ;ikea;;;;
FLYN;both;SE;64.1017;16.4039;
FLÅREN;ikea;;;;
FLÄRKE;both;SE;63.5741;19.0369;
FLÖRT;ikea;;;;
FONNES;both;NO;60.803;4.9798;Austrheim est une kommune de Norvège.
FORSYTIA;ikea;;;;
FRAMSTÅ;ikea;;;;
FREDERIKSBERG;city;DK;55.6779;12.5327;Frederiksberg est une commune du Danemark totalement enclavée dans la ville de Copenhague, faisant partie du Grand Copenhague.
FREDRIK;ikea;;;;
FRÄCK;ikea;;;;
FYLLEN;ikea;;;;
FÅBORG;both;DK;55.095;10.2422;Fåborg ou Faaborg est une ville portuaire du Danemark dans la commune de Faaborg-Midtfyn, située sur la pointe sud de l'île de Fionie et bordée par la mer Baltique.
FÅVANG;both;NO;61.4556;10.1944;
FÄRM;ikea;;;;
GABBEH;ikea;;;;
GAMLE OSLO;city;NO;59.9129;10.7819;Gamle Oslo est l'un des 15 districts (bydeler) de la ville d'Oslo, en Norvège, dont le nom signifie « Vieil Oslo ».
GATTEN;both;DK;56.8803;9.4007;
GEDSER;both;DK;54.5747;11.9311;Gedser est un village Danois de la commune de Guldborgsund, dans la région de Sjælland, sur l'île de Falster.
GIDEÅ;both;SE;63.4815;18.9723;Gideå est une localité de la commune d'Örnsköldsvik dans le comté de Västernorrland en Suède.
GILBERT;ikea;;;;
GLASHOLM;ikea;;;;
GLIS;ikea;;;;
GLÖDA;ikea;;;;
GNARP;both;SE;62.0506;17.2413;Gnarp est une localité de Suède dans la commune de Nordanstig située dans le comté de Gävleborg.
GOLIAT;ikea;;;;
GRAND GÖTEBORG;city;SE;57.7044;11.9911;Le grand Göteborg, en suédois « Storgöteborg », est le nom de l'aire urbaine formée par la commune de Göteborg et ses communes environnantes.
GRAND HELSINKI;city;FI;60.1708;24.9375;Le Grand Helsinki et la Région capitale font référence à deux régions de tailles différentes composant l'aire urbaine d'Helsinki, la capitale de la Finlande, dont elle constitue la ville centre.
GRAND STOCKHOLM;city;SE;59.3333;18.1667;Le Grand Stockholm, Storstockholm en suédois, représente l'aire urbaine formée par la ville de Stockholm et les communes qui l'entourent.
GRANEMO;ikea;;;;
GRAVYR;ikea;;;;
GREVBÄCK;both;SE;58.3446;14.349;
GRILLER;ikea;;;;
GRIMSTAD;both;NO;58.3405;8.5934;Grimstad est une kommune portuaire norvégienne située dans le comté d’Agder et la région du Sørlandet.
GROGGY;ikea;;;;
GRÄNUM;both;SE;56.2311;14.6103;Gränum est une localité de Suède située dans la commune d'Olofström du comté de Blekinge.
GRÄS;ikea;;;;
GULLHOLMEN;both;SE;58.1743;11.3984;Gullholmen est une île et une petite ville de la paroisse de Gullholmen (sv) dans la municipalité d'Orust, située à l'extrémité du littoral de Bohuslän, en Suède.
GULLUNGE;ikea;;;;
GYLLEN;ikea;;;;
GÄSPA;ikea;;;;
GÄVLE;city;SE;60.6748;17.1444;Gävle est une ville du centre de la Suède, située à l'embouchure de la rivière Dalälven, qui se jette dans la mer Baltique.
GÖTEBORG;city;SE;57.7075;11.9675;Göteborg, ou Gothembourg, est la deuxième ville de Suède par l'importance de son poids démographique ainsi que par son industrie et ses activités économiques.
HAGALUND;both;SE;59.3622;18.0117;
HAGAVIK;both;NO;60.1808;5.4015;
HALLARYD;both;SE;56.4837;13.8852;
HALMSTAD;city;SE;56.674;12.8573;Halmstad est une ville de l'ouest de la Suède, chef-lieu de la commune du même nom.
HALSTED;both;DK;54.8478;11.2245;Halsted peut faire référence à :
HAMNVIK;both;NO;68.7781;17.1744;Hamnvik est une localité du comté de Troms, en Norvège.
HAMPEN;both;DK;56.0183;9.3547;
HANNES;ikea;;;;
HARESTUA;both;NO;60.2022;10.7142;
HAVBRO;both;DK;56.8;9.4175;
HAVTORN;ikea;;;;
HEIDAL;both;NO;61.7581;9.2844;
HEIMDAL;both;NO;63.3514;10.3586;Heimdal est un des quatre arrondissements de la ville de Trondheim en Norvège, situé au sud du centre de la ville.
HELLUM;both;DK;57.27;10.1653;Hellum est un village situé dans la commune néerlandaise de Midden-Groningue, dans la province de Groningue.
HELMER;ikea;;;;
HELSINGBORG;city;SE;56.0424;12.721;Helsingborg, anciennement appelée Helsimbourg en français, est une ville suédoise située sur la côte du détroit de l'Øresund, au niveau de son point le plus étroit, la ville danoise d'Elseneur n'étant qu'à 4 km.
HELSINGÖR;both;DK;56.036;12.6106;Elseneur est une ville et une municipalité danoise située à la pointe nord-est de l'île de Seeland, au nord de Copenhague.
HELSINKI;city;FI;60.1708;24.9375;Helsinki est la capitale de la Finlande.
HEMNES;both;NO;59.7208;11.4552;Hemnes est une kommune de Norvège.
HEMSJÖ;both;SE;57.8438;12.4753;
HENRIKSDAL;both;FI;60.2667;25.0667;Heikinlaakso est une section du quartier de Suurmetsä d'Helsinki, la capitale de la Finlande.
HENSVIK;ikea;;;;
HERAND;both;NO;60.3439;6.3756;
HERNING;city;DK;56.1361;8.9767;Herning est une commune du Danemark, située dans la région du Jutland central , c’est également le nom de son chef-lieu.
HESSUM;both;DK;55.5099;10.4534;
HJARTDAL;both;NO;59.6007;8.6532;Hjartdal est une kommune de Norvège.
HJUVIK;both;SE;57.7;11.7167;Hjuvik est une localité de Suède située dans la commune de Göteborg du comté de Västra Götaland.
HJÖRDIS;ikea;;;;
HOPEN;ikea;;;;
HORSENS;city;DK;55.8619;9.8519;Horsens est une ville du Danemark, chef-lieu de la commune homonyme dans la région du Jutland central.
HOSLE;both;NO;59.935;10.5806;Haslum est une agglomération de la municipalité de Bærum, dans le comté d'Akershus, en Norvège.
HOVEN;both;DK;55.8511;8.7623;Hoven est un nom propre
HOVET;both;NO;60.6333;8.1667;Hovet, anciennement le Johanneshovs Isstadion, fut ouvert en 1955, complété en 1962 et reconstruit en 2002.
HUGLO;both;NO;59.851;5.5824;Huglo est une île norvégienne du comté de Hordaland appartenant administrativement à Stord.
HULDA;ikea;;;;
HUSNES;both;NO;59.8606;5.7403;
HUSVIK;both;NO;59.25;10.4667;Husvik est une localité de la municipalité de Tønsberg, dans le comté de Vestfold, en Norvège.
HUSÅ;both;SE;63.491;13.1176;
HUTTEN;ikea;;;;
HÅBOL;both;SE;58.9729;12.0265;
HÄGERSTEN-ÄLVSJÖ;city;SE;59.3065;17.9821;Hägersten-Älvsjö est un des 11 districts de la ville de Stockholm en Suède,
HÄGG;ikea;;;;
HÄMEENLINNA;city;FI;60.9944;24.4667;Hämeenlinna, ou Tavastehus en suédois, ville du sud de la Finlande, est la capitale de la province de Finlande méridionale et de la région du Kanta-Häme.
HÄSSELBY-VÄLLINGBY;city;SE;59.3625;17.8722;Hässelby-Vällingby est un district de l'ouest de Stockholm en Suède.
HÄSTVEDA;both;SE;56.2861;13.9357;Hästveda est une localité de Suède dans la commune de Hässleholm en Scanie.
HÄSTÖ;both;FI;60.1373;23.0487;
HÖLLVIKEN;both;SE;55.4084;12.9542;Höllviken est une localité suédoise située dans la commune de Vellinge en Scanie.
HÖRBY;both;SE;55.8509;13.6636;La commune de Hörby est une commune suédoise du comté de Scanie.
IBESTAD;both;NO;68.7878;17.1509;Ibestad est une kommune de Norvège.
IDELIG;ikea;;;;
ILSBO;both;SE;61.8566;17.0507;Ilsbo est une localité de Suède dans la commune de Nordanstig située dans le comté de Gävleborg.
INDEX;ikea;;;;
INGEMAR;ikea;;;;
INLOPP;ikea;;;;
IRJA;ikea;;;;
IVAR;ikea;;;;
IVETOFTA;both;SE;56.085;14.4696;
JANSJÖ;both;SE;63.8572;16.3767;
JANUARI;ikea;;;;
JAREN;both;NO;60.3926;10.5618;
JIGGA;ikea;;;;
JOENSUU;city;FI;62.6;29.7639;Joensuu est une ville située dans l'est de la Finlande, dans la province de la Finlande orientale chef-lieu de la région de Carélie du Nord.
JOKKMOKK;both;SE;66.6053;19.8279;Jokkmokk est une localité du nord de la Suède, chef-lieu de la commune de Jokkmokk, dans le comté de Norrbotten.
JONDAL;both;NO;60.2758;6.2522;Jondal est une kommune de Norvège.
JONISK;ikea;;;;
JONSBERG;both;SE;58.5247;16.8278;
JUBLA;ikea;;;;
JYLLINGE;both;DK;55.7514;12.1039;Jyllinge est une ville et une commune située au Danemark, dans l'île de Sjælland.
JYVÄSKYLÄ;city;FI;62.2403;25.7444;Jyväskylä est une ville du sud de la Finlande, capitale de la région de Finlande-Centrale, située à 235 km au nord d'Helsinki.
JÄMSUNDA;ikea;;;;
JÄRVA;city;SE;59.4014;17.9425;Järva est un des 11 districts de la ville de Stockholm en Suède,
JÖNKÖPING;city;SE;57.7833;14.1667;Jönköping est la dixième plus grande ville de Suède et constitue un exemple de la « ville moyenne suédoise ».
KAJSA;ikea;;;;
KALLT;ikea;;;;
KAPA;ikea;;;;
KARLSKRONA;both;SE;56.1922;15.6308;Karlskrona est une ville située sur la côte sud de la Suède, dispersée sur plusieurs îles de l'archipel du Blekinge.
KARLSTAD;both;SE;59.3875;13.51;Karlstad est une ville située dans l'ouest de la Suède, sur la rive nord du grand lac Vänern, sur le delta du fleuve Klarälven.
KARSTEN;ikea;;;;
KATTRUP;both;DK;55.9526;9.9194;
KAUSTBY;both;FI;63.5486;23.6903;Kaustinen est une municipalité de l'ouest de la Finlande, dans la région d'Ostrobotnie centrale.
KAVALKAD;ikea;;;;
KILAN;ikea;;;;
KLADD;ikea;;;;
KLEMENS;ikea;;;;
KLIPPAN;both;SE;56.1346;13.1474;La commune de Klippan est une commune suédoise du comté de Skåne.
KLUBBO;ikea;;;;
KLÄPPE;both;SE;63.2383;14.7653;
KNIPSA;ikea;;;;
KNUFF;ikea;;;;
KOLDBY;both;DK;56.846;8.526;
KOLDING;city;DK;55.4908;9.4722;Kolding est une ville portuaire du Danemark dans la région du Danemark du Sud.
KOLON;ikea;;;;
KONCIS;ikea;;;;
KOPPANG;both;NO;61.5714;11.0467;
KORREKT;ikea;;;;
KOTKA;city;FI;60.4667;26.9458;Kotka est une ville de Finlande située au Sud-Est du pays, sur deux îles à l'embouchure du fleuve Kymi.
KOTTE;ikea;;;;
KOUVOLA;city;FI;60.8681;26.7042;Kouvola est une ville du sud-est de la Finlande, à 134 km de la capitale Helsinki.
KRAMA;ikea;;;;
KRAMFORS;both;SE;62.9248;17.7963;Kramfors est une ville de Suède, chef-lieu de la commune de Kramfors dans le comté de Västernorrland.
KROBY;ikea;;;;
KRYSSBO;ikea;;;;
KULLEN;both;SE;57.6724;12.35;
KUNGSHOLMEN;city;SE;59.3306;18.0417;Kungsholmen est un des districts du centre-ville de Stockholm en Suède.
KUOPIO;city;FI;62.8925;27.6783;Kuopio est une ville du centre-est de la Finlande.
KVARNSTEN;ikea;;;;
KVIBY;ikea;;;;
KVISSEL;both;DK;57.4708;10.4106;
KÅRABODA;ikea;;;;
LADE;ikea;;;;
LAGAN;both;SE;56.9156;13.9916;Lagan est une localité de Suède dans la commune de Ljungby située dans le comté de Kronoberg.
